# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO7590	NC_003888.3	8415439	8416959	-	1521	NA	7	10	11	5	1	21	10	35	7	16	23	4	33	10	0	70	9	1
SCO7591	NC_003888.3	8417434	8418396	-	963	NA	2	0	1	1	0	0	4	0	2	0	0	0	2	1	0	1	0	0
SCO7592	NC_003888.3	8418509	8419402	+	894	NA	3	0	1	0	0	0	2	0	0	2	1	0	2	0	0	3	0	0
SCO7593	NC_003888.3	8419486	8419851	+	366	NA	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	2	0	0
SCO7594	NC_003888.3	8420016	8421062	+	1047	NA	7	3	3	0	0	4	0	4	2	2	7	3	8	1	0	18	5	4
SCO7595	NC_003888.3	8421086	8422261	-	1176	anmK	2	2	0	0	0	1	1	2	0	1	0	0	2	1	2	2	0	0
SCO7596	NC_003888.3	8422299	8423870	-	1572	NA	5	4	12	0	5	7	0	8	8	7	6	3	9	4	2	19	13	2
SCO7597	NC_003888.3	8423879	8424877	-	999	NA	0	0	7	2	0	0	1	0	0	5	0	2	7	0	0	8	0	0
SCO7598	NC_003888.3	8424898	8425014	+	117	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO7599	NC_003888.3	8425073	8426008	+	936	NA	1	33	29	13	5	27	8	35	23	12	28	18	44	16	1	70	22	4
SCO7600	NC_003888.3	8426016	8427230	-	1215	NA	33	69	40	21	17	64	35	185	41	153	112	42	151	115	4	274	91	15
SCO7601	NC_003888.3	8427526	8428998	-	1473	NA	2	5	4	3	0	1	0	2	3	4	5	1	21	0	0	6	1	0
SCO7602	NC_003888.3	8429126	8429713	+	588	NA	44	64	61	16	9	40	14	86	25	41	60	7	110	48	1	146	40	7
SCO7603	NC_003888.3	8429821	8430771	-	951	NA	18	32	20	8	11	42	8	32	15	38	31	12	75	26	1	85	43	1
SCO7604	NC_003888.3	8430895	8431779	+	885	NA	97	101	128	37	38	134	51	120	56	81	140	36	143	70	9	388	140	26
SCO7605	NC_003888.3	8431787	8433208	-	1422	NA	53	47	63	21	11	45	17	39	29	33	34	39	81	54	3	142	18	5
SCO7606	NC_003888.3	8433408	8434529	+	1122	NA	21	26	12	2	4	25	11	30	6	49	14	8	134	48	0	28	9	4
SCO7607	NC_003888.3	8434553	8435734	-	1182	NA	2	1	6	3	0	3	4	5	3	2	4	8	6	10	0	14	6	0
SCO7608	NC_003888.3	8435801	8436253	+	453	NA	21	17	11	3	2	19	9	21	6	25	7	8	26	24	1	12	13	5
SCO7609	NC_003888.3	8436288	8436974	-	687	NA	1	6	0	3	0	0	0	3	0	5	1	1	3	0	0	5	0	0
SCO7610	NC_003888.3	8437174	8438154	+	981	NA	22	32	22	13	4	32	5	11	9	17	21	5	30	24	2	59	9	2
SCO7611	NC_003888.3	8438157	8438870	+	714	NA	57	33	47	4	8	19	14	36	6	27	18	17	26	18	5	44	10	5
SCO7612	NC_003888.3	8438874	8439524	-	651	NA	4	8	10	1	1	10	10	5	1	16	25	2	10	12	1	9	9	0
SCO7613	NC_003888.3	8439704	8442160	-	2457	NA	15	34	82	8	7	45	7	21	10	23	43	13	32	7	8	39	23	0
SCO7614	NC_003888.3	8442244	8442765	-	522	NA	87	23	40	15	16	65	36	57	22	61	10	15	70	49	6	59	21	2
SCO7615	NC_003888.3	8442864	8443736	+	873	NA	258	122	131	37	33	154	90	116	53	126	62	40	201	68	17	122	70	20
SCO7616	NC_003888.3	8443733	8444002	+	270	NA	86	15	52	15	5	61	35	33	15	55	19	7	63	41	2	56	29	6
SCO7617	NC_003888.3	8443999	8444814	+	816	NA	113	29	39	10	18	100	46	48	22	44	36	24	58	59	6	77	38	2
SCO7618	NC_003888.3	8444820	8445614	+	795	NA	32	7	21	10	8	21	10	34	12	21	11	7	47	22	3	36	7	5
SCO7619	NC_003888.3	8445701	8446105	+	405	NA	0	1	1	0	1	0	0	3	2	5	0	1	2	0	0	0	1	2
SCO7620	NC_003888.3	8446200	8446559	+	360	NA	5	3	4	0	2	4	0	3	5	1	5	5	10	0	0	14	3	0
SCO7621	NC_003888.3	8446701	8447144	+	444	NA	4	2	13	3	2	6	8	12	2	4	4	1	8	5	0	30	4	0
SCO7622	NC_003888.3	8447193	8448644	-	1452	NA	18	8	7	3	1	12	7	15	3	15	23	11	28	15	0	62	20	0
SCO7623	NC_003888.3	8448650	8450224	-	1575	pntA	16	24	41	4	4	28	13	34	4	33	16	7	27	13	2	46	17	5
SCO7624	NC_003888.3	8450331	8451026	-	696	NA	21	19	47	3	8	44	9	17	14	39	20	17	70	23	5	50	11	1
SCO7625	NC_003888.3	8451080	8452201	+	1122	NA	0	0	1	0	0	1	0	1	0	3	0	1	0	1	0	1	0	0
SCO7626	NC_003888.3	8452226	8453704	-	1479	NA	32	36	32	11	11	32	12	27	13	49	6	15	70	64	1	50	20	2
SCO7627	NC_003888.3	8453968	8454549	+	582	NA	0	5	14	0	0	4	3	2	4	3	5	2	6	8	0	25	1	5
SCO7628	NC_003888.3	8454701	8455840	+	1140	NA	21	63	52	28	12	51	21	68	20	50	135	21	76	35	1	525	58	1
SCO7629	NC_003888.3	8455893	8457134	+	1242	NA	80	139	158	48	43	121	42	134	49	123	138	16	219	124	8	459	68	7
SCO7630	NC_003888.3	8457210	8457884	+	675	NA	71	82	123	22	36	99	40	127	50	135	57	30	193	105	3	210	49	4
SCO7631	NC_003888.3	8457868	8459757	-	1890	NA	703	729	866	262	223	1539	554	1181	396	1034	1375	395	1206	891	52	3946	1019	99
SCO7632	NC_003888.3	8460001	8460834	+	834	NA	63	38	66	36	10	71	42	121	13	150	94	28	141	83	7	258	89	12
SCO7633	NC_003888.3	8460911	8461840	-	930	NA	28	23	31	11	21	85	16	60	15	95	69	14	52	29	2	171	35	5
SCO7634	NC_003888.3	8461956	8463857	+	1902	NA	22	58	56	18	8	22	17	64	28	32	40	17	76	28	1	143	30	10
SCO7635	NC_003888.3	8463880	8464428	-	549	NA	1	5	12	2	1	1	2	5	2	5	12	2	5	3	0	28	2	5
SCO7636	NC_003888.3	8464588	8464878	+	291	NA	17	17	32	7	3	18	6	15	8	14	6	1	55	16	1	24	6	3
SCO7637	NC_003888.3	8464939	8466399	-	1461	NA	7	8	10	1	0	3	4	11	2	4	6	6	17	13	0	24	9	0
SCO7638	NC_003888.3	8466854	8468158	-	1305	eno	10	4	11	3	5	9	9	6	2	17	2	5	34	12	0	19	4	3
SCO7639	NC_003888.3	8468385	8468807	+	423	NA	19	21	47	7	8	24	3	41	17	27	28	3	39	23	4	44	14	1
SCO7640	NC_003888.3	8468827	8469810	-	984	NA	11	9	10	1	3	8	3	9	1	9	8	3	20	2	0	16	5	0
SCO7641	NC_003888.3	8469909	8471105	+	1197	NA	0	1	3	1	0	2	0	1	0	2	1	0	7	3	0	3	1	0
SCO7642	NC_003888.3	8471165	8471530	+	366	NA	0	0	4	0	1	0	0	0	0	4	0	2	0	0	0	0	1	0
SCO7643	NC_003888.3	8471548	8471823	+	276	NA	0	2	3	0	0	2	1	4	0	0	4	0	0	0	0	4	0	0
SCO7644	NC_003888.3	8471876	8473099	-	1224	NA	8	8	9	4	2	10	8	13	4	12	8	2	27	4	0	31	3	2
SCO7645	NC_003888.3	8473207	8473920	+	714	NA	14	25	24	13	5	14	11	21	15	22	21	7	55	12	4	38	8	2
SCO7646	NC_003888.3	8474054	8474326	+	273	NA	121	182	140	34	58	90	67	194	39	128	52	24	171	79	8	250	74	30
SCO7647	NC_003888.3	8474635	8475174	+	540	NA	25	74	74	35	25	31	13	76	55	25	115	31	61	44	2	180	57	7
SCO7648	NC_003888.3	8475216	8475881	-	666	NA	6	7	8	2	0	14	4	11	5	12	3	3	15	13	2	27	4	1
SCO7649	NC_003888.3	8476050	8477246	-	1197	NA	3	12	13	1	2	7	2	6	1	4	11	4	16	8	1	18	4	0
SCO7650	NC_003888.3	8477428	8478900	+	1473	NA	1	4	1	4	1	0	0	1	0	3	2	0	4	1	0	8	3	0
SCO7651	NC_003888.3	8478902	8479516	-	615	NA	4	3	7	0	1	4	0	3	0	8	4	2	12	10	2	6	3	1
SCO7652	NC_003888.3	8479547	8480098	+	552	NA	34	24	40	7	6	49	26	67	25	59	39	15	123	44	7	50	23	13
SCO7653	NC_003888.3	8480189	8480911	-	723	NA	242	294	246	81	68	316	117	408	126	696	176	107	1135	528	21	482	183	42
SCO7654	NC_003888.3	8481163	8482020	+	858	NA	89	72	123	57	34	180	53	144	38	114	132	61	156	106	12	343	111	7
SCO7655	NC_003888.3	8482077	8483009	+	933	NA	140	107	156	72	55	220	158	174	64	185	179	64	227	173	9	446	151	15
SCO7656	NC_003888.3	8483077	8483598	+	522	NA	4	3	15	1	3	13	5	15	2	6	9	4	12	7	0	18	10	0
SCO7657	NC_003888.3	8483781	8485538	+	1758	NA	9415	8709	6726	2598	2730	16450	11747	13761	4798	13607	26250	5956	12605	15884	336	51105	15626	1086
SCO7658	NC_003888.3	8485558	8485710	+	153	NA	19	19	21	6	1	28	19	42	10	36	34	19	66	23	0	121	16	3
SCO7659	NC_003888.3	8485671	8486792	-	1122	NA	2	7	5	0	0	5	4	11	8	3	4	4	7	10	1	12	7	0
SCO7660	NC_003888.3	8487119	8487601	+	483	NA	3	6	8	0	0	2	3	1	1	6	1	1	12	1	0	9	2	0
SCO7661	NC_003888.3	8487642	8488280	+	639	NA	4	1	11	0	3	7	1	8	2	11	9	1	5	0	1	15	6	2
SCO7662	NC_003888.3	8488518	8489696	+	1179	NA	45	26	68	26	33	51	29	37	13	28	53	13	48	21	10	90	35	12
SCO7663	NC_003888.3	8489928	8490212	-	285	NA	2	0	3	1	3	4	0	1	3	3	11	0	4	2	0	13	2	0
SCO7664	NC_003888.3	8490209	8490745	-	537	NA	9	9	30	20	11	22	15	47	14	30	49	6	28	18	0	64	32	4
SCO7665	NC_003888.3	8490754	8490963	-	210	NA	9	14	9	9	1	13	9	14	5	3	16	5	6	9	0	31	8	6
SCO7666	NC_003888.3	8491153	8492100	+	948	NA	10	2	2	7	2	7	3	6	4	6	8	5	20	5	0	24	8	0
SCO7667	NC_003888.3	8492106	8492702	+	597	NA	0	1	0	0	0	2	0	2	1	2	2	0	0	0	0	2	0	0
SCO7668	NC_003888.3	8492781	8493260	+	480	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO7669	NC_003888.3	8493549	8494580	-	1032	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SCO7670	NC_003888.3	8494577	8495092	-	516	NA	0	0	3	0	0	2	0	0	0	0	1	2	0	0	0	3	0	0
SCO7671	NC_003888.3	8495102	8496340	-	1239	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO7672	NC_003888.3	8496377	8497237	+	861	NA	3	6	8	3	0	6	0	3	5	3	2	0	12	3	0	4	1	0
SCO7673	NC_003888.3	8497424	8497978	+	555	NA	3	2	2	1	1	7	1	2	0	4	6	0	9	0	0	0	4	0
SCO7674	NC_003888.3	8498017	8498415	+	399	NA	0	2	4	0	0	3	0	3	0	0	1	1	1	0	0	5	0	0
SCO7675	NC_003888.3	8498412	8498906	+	495	NA	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0
SCO7676	NC_003888.3	8499061	8499282	+	222	NA	2	0	5	0	0	0	0	2	0	14	0	0	1	3	0	2	0	0
SCO7677	NC_003888.3	8499392	8500978	+	1587	NA	3	3	7	4	1	3	3	1	1	5	0	0	12	11	0	9	2	3
SCO7678	NC_003888.3	8500975	8501925	+	951	NA	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0
SCO7679	NC_003888.3	8501922	8502776	+	855	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCO7680	NC_003888.3	8502773	8504398	+	1626	NA	4	0	8	0	0	1	3	0	0	4	0	0	0	10	0	0	0	0
SCO7681	NC_003888.3	8504461	8506122	-	1662	NA	0	4	0	0	0	3	2	0	1	12	0	1	10	13	0	7	0	2
SCO7682	NC_003888.3	8506283	8512972	+	6690	NA	5	3	2	5	4	9	2	12	2	19	6	0	15	10	0	45	0	1
SCO7683	NC_003888.3	8512969	8518497	+	5529	NA	3	3	3	0	1	2	5	2	5	2	5	4	12	6	0	32	5	0
SCO7684	NC_003888.3	8518494	8519645	+	1152	NA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0
SCO7685	NC_003888.3	8519642	8521675	+	2034	NA	3	0	0	0	1	0	0	4	0	0	0	1	0	0	0	6	0	0
SCO7686	NC_003888.3	8521684	8522919	+	1236	NA	2	0	0	1	1	1	0	0	0	3	1	0	2	0	0	2	1	0
SCO7687	NC_003888.3	8522916	8523749	+	834	NA	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SCO7688	NC_003888.3	8523760	8524488	+	729	NA	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
SCO7689	NC_003888.3	8524521	8526347	+	1827	NA	0	3	2	1	1	2	0	0	3	1	1	0	0	3	1	1	0	0
SCO7690	NC_003888.3	8526344	8528107	+	1764	NA	2	2	2	0	0	0	0	3	0	3	0	2	2	5	0	8	2	0
SCO7691	NC_003888.3	8528166	8529581	+	1416	NA	4	2	0	0	0	1	0	0	5	3	1	1	2	1	0	6	1	0
SCO7692	NC_003888.3	8529736	8530005	+	270	NA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SCO7693	NC_003888.3	8529982	8530953	-	972	NA	20	14	11	2	0	27	14	22	1	35	24	8	93	21	1	38	12	1
SCO7694	NC_003888.3	8531016	8531588	+	573	NA	90	100	153	34	38	65	42	103	36	62	62	33	157	103	6	203	57	16
SCO7695	NC_003888.3	8531641	8532009	-	369	NA	5	3	17	0	17	12	2	18	0	11	17	3	15	13	1	25	11	0
SCO7696	NC_003888.3	8532086	8532541	+	456	NA	7	18	25	7	10	15	14	15	7	13	15	3	16	8	0	35	17	0
SCO7697	NC_003888.3	8532741	8534048	+	1308	NA	554	330	688	134	157	1036	395	631	193	602	1110	245	722	564	52	2806	769	51
SCO7698	NC_003888.3	8534142	8535284	-	1143	NA	6	7	11	2	4	3	3	8	3	6	3	2	17	5	0	15	6	0
SCO7699	NC_003888.3	8535532	8536947	+	1416	NA	10	23	13	8	10	11	7	51	13	4	107	5	19	13	1	137	38	7
SCO7700	NC_003888.3	8537030	8538352	+	1323	NA	5	13	3	14	2	1	10	13	11	4	61	3	14	5	1	90	16	1
SCO7701	NC_003888.3	8538368	8539246	+	879	NA	12	17	18	22	3	17	25	40	13	11	103	12	30	34	0	198	35	4
SCO7702	NC_003888.3	8539362	8540072	+	711	NA	9	23	17	6	3	14	4	17	8	11	8	3	32	19	2	45	11	2
SCO7703	NC_003888.3	8540069	8541319	+	1251	NA	9	11	15	3	0	9	13	16	6	4	13	3	25	20	0	33	4	1
SCO7704	NC_003888.3	8541365	8542072	+	708	NA	60	58	105	26	15	74	39	59	48	75	60	23	134	96	2	199	56	11
SCO7705	NC_003888.3	8542150	8543340	+	1191	NA	4	3	12	0	2	8	2	1	0	3	0	0	10	0	0	9	4	0
SCO7706	NC_003888.3	8543383	8544237	-	855	NA	7	8	6	4	5	13	1	11	3	17	11	5	11	8	3	17	5	5
SCO7707	NC_003888.3	8544375	8544659	+	285	NA	0	2	0	0	0	0	0	3	1	0	2	0	3	0	0	2	1	0
SCO7708	NC_003888.3	8544693	8545343	-	651	NA	2	2	9	1	0	7	2	6	0	2	3	1	15	10	1	4	5	0
SCO7709	NC_003888.3	8545444	8545872	+	429	NA	22	16	34	1	4	43	10	43	13	22	24	10	43	14	1	43	22	4
SCO7710	NC_003888.3	8545981	8546727	+	747	NA	33	49	21	9	18	39	11	49	16	85	18	17	117	39	0	55	10	7
SCO7711	NC_003888.3	8546786	8548315	+	1530	NA	15	22	26	6	9	29	5	17	8	20	6	7	20	24	3	53	10	4
SCO7712	NC_003888.3	8548323	8549003	+	681	NA	30	26	43	9	18	49	16	26	13	35	32	16	91	18	0	105	25	2
SCO7713	NC_003888.3	8549088	8549492	+	405	NA	1	4	3	1	1	7	0	2	2	2	0	0	0	0	0	2	1	4
SCO7714	NC_003888.3	8549883	8550365	+	483	NA	18	55	29	1	6	42	20	59	15	33	51	24	49	27	0	149	57	4
SCO7715	NC_003888.3	8550431	8551234	+	804	NA	90	103	166	49	38	165	108	143	51	76	203	55	147	113	15	535	157	18
SCO7716	NC_003888.3	8551498	8551953	+	456	NA	2	3	5	0	1	6	6	7	2	8	3	0	7	7	0	17	1	0
SCO7717	NC_003888.3	8552007	8552420	-	414	NA	57	19	76	7	8	135	20	10	13	58	29	7	15	33	6	97	15	8
SCO7718	NC_003888.3	8552524	8553297	-	774	NA	17	22	32	5	3	18	18	20	25	22	23	9	41	27	0	59	14	3
SCO7719	NC_003888.3	8553428	8554087	-	660	NA	7	18	27	4	4	35	6	22	15	18	12	11	33	25	1	42	15	0
SCO7720	NC_003888.3	8554142	8555248	+	1107	NA	4	2	5	2	1	2	2	3	3	3	3	1	4	0	0	7	2	0
SCO7721	NC_003888.3	8555357	8556118	+	762	NA	301	344	417	174	65	701	175	627	229	542	264	139	713	430	21	1282	292	19
SCO7722	NC_003888.3	8556355	8556939	+	585	NA	45	42	72	34	11	77	24	76	37	44	95	16	52	29	3	225	60	6
SCO7723	NC_003888.3	8557122	8558303	-	1182	NA	9	7	14	3	4	16	9	17	8	2	13	1	4	17	1	40	13	2
SCO7724	NC_003888.3	8558433	8559848	-	1416	NA	24	21	28	2	5	33	14	18	14	35	34	8	33	31	1	94	28	3
SCO7725	NC_003888.3	8559885	8560667	+	783	NA	5	7	7	1	0	17	5	19	8	20	11	4	27	21	0	37	5	0
SCO7726	NC_003888.3	8561544	8562200	+	657	NA	2	7	6	10	5	13	4	23	3	23	61	4	44	15	0	133	20	0
SCO7727	NC_003888.3	8562591	8563058	-	468	NA	240	143	191	133	83	144	127	249	98	192	247	38	260	152	22	793	192	44
SCO7728	NC_003888.3	8563210	8563518	+	309	NA	15	34	29	14	1	27	13	48	13	33	30	6	75	43	1	71	24	8
SCO7729	NC_003888.3	8563625	8564623	+	999	NA	28	35	40	15	13	66	24	38	14	50	57	13	75	46	3	168	54	5
SCO7730	NC_003888.3	8564658	8564996	+	339	NA	53	37	51	22	12	57	23	97	30	68	110	24	93	82	2	188	68	4
SCO7731	NC_003888.3	8565486	8566037	+	552	NA	13	25	15	7	5	27	7	30	21	88	19	7	158	68	0	32	14	7
SCO7732	NC_003888.3	8566732	8567118	+	387	NA	23	23	17	9	5	16	12	27	12	33	15	7	50	26	1	48	19	1
SCO7733	NC_003888.3	8567132	8569351	+	2220	NA	125	182	197	58	41	167	71	188	79	145	227	52	368	157	8	495	143	20
SCO7734	NC_003888.3	8569361	8569918	+	558	NA	95	150	125	37	31	134	38	150	54	106	185	31	260	120	9	419	100	8
SCO7735	NC_003888.3	8569962	8570174	+	213	NA	21	17	20	0	3	14	12	22	10	10	14	5	28	14	1	53	14	3
SCO7736	NC_003888.3	8570209	8572470	-	2262	NA	3	6	3	3	0	13	1	16	5	10	16	1	6	5	1	51	12	3
SCO7737	NC_003888.3	8573140	8573652	+	513	NA	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0
SCO7738	NC_003888.3	8573919	8574302	-	384	NA	0	0	2	1	0	0	0	0	2	0	1	0	3	0	0	13	0	0
SCO7739	NC_003888.3	8574364	8575071	-	708	NA	0.50	0	5	0	0.50	1	0	0.50	0	4	2	1	6.50	0	0	11	2.50	0
SCO7740	NC_003888.3	8575438	8575674	-	237	NA	5	3	6	1	1	2	0	6	1	10	4	0	2	3	0	12	6	0
SCO7741	NC_003888.3	8576308	8577372	-	1065	NA	60	61	262	42	44	69	30	82	25	50	71	18	103	47	5	223	67	6
SCO7742	NC_003888.3	8577403	8577879	+	477	NA	24	21	40	12	20	46	19	86	26	28	53	24	73	28	0	155	65	16
SCO7743	NC_003888.3	8578000	8578485	-	486	NA	39	48	112	30	17	61	22	73	26	47	57	22	88	42	5	167	60	11
SCO7746	NC_003888.3	8579043	8579414	-	372	NA	1	0	2	0	0	1	2	0	0	3	1	0	3	0	0	5	1	0
SCO7747	NC_003888.3	8580056	8581234	+	1179	NA	25	38	47	14	10	57	22	64	24	43	43	14	63	60	0	116	27	3
SCO7748	NC_003888.3	8581406	8583109	+	1704	NA	66	36	48	9	23	76	38	66	29	75	49	18	97	83	2	153	51	13
SCO7749	NC_003888.3	8583106	8584200	+	1095	NA	46	12	37	14	7	37	40	67	20	41	40	10	47	48	1	135	35	3
SCO7750	NC_003888.3	8584197	8584610	+	414	NA	15	11	19	2	9	28	8	18	12	13	15	5	21	33	1	71	15	3
SCO7751	NC_003888.3	8584661	8585167	+	507	NA	7	3	10	6	4	15	6	22	10	11	31	4	13	4	1	58	22	3
SCO7752	NC_003888.3	8585463	8586017	-	555	NA	22	5	18	5	8	33	9	17	6	14	16	8	26	16	0	72	20	0
SCO7753	NC_003888.3	8586108	8586500	-	393	NA	15	11	32	8	6	25	17	21	6	13	15	5	26	27	3	77	32	4
SCO7754	NC_003888.3	8586592	8586975	+	384	NA	7	3	16	1	2	18	4	18	3	8	4	1	11	10	1	46	6	7
SCO7755	NC_003888.3	8587133	8587375	+	243	NA	5	9	5	5	2	6	0	11	5	4	5	6	8	8	0	21	7	2
SCO7756	NC_003888.3	8587396	8587620	+	225	NA	2	1	5	0	0	2	0	2	1	1	2	1	3	2	0	8	0	0
SCO7759	NC_003888.3	8589189	8590784	+	1596	NA	0	10	10	2	1	4	1	6	0	2	5	0	7	5	0	14	3	0
SCO7760	NC_003888.3	8590974	8591087	-	114	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCO7761	NC_003888.3	8591283	8591942	+	660	NA	3	0	0	1	0	2	3	1	1	1	1	0	0	0	0	3	4	0
SCO7762	NC_003888.3	8592094	8593056	+	963	NA	3	3	8	4	0	5	0	0	1	0	4	0	1	1	1	4	1	0
SCO7763	NC_003888.3	8593351	8594052	+	702	NA	36	50	74	17	14	113	29	60	42	41	130	43	143	50	6	281	59	4
SCO7764	NC_003888.3	8594110	8594421	+	312	NA	7	8	10	5	3	16	10	9	3	4	11	4	10	21	1	46	5	1
SCO7765	NC_003888.3	8595004	8595444	+	441	NA	691	455	490	148	84	664	383	408	224	653	409	98	1458	759	11	992	315	79
SCO7766	NC_003888.3	8595528	8596418	+	891	NA	35	25	20	7	4	33	18	33	7	69	39	12	136	40	1	68	17	9
SCO7767	NC_003888.3	8596583	8597410	-	828	NA	189	103	90	36	81	305	160	206	40	178	209	28	277	238	13	573	174	15
SCO7768	NC_003888.3	8597540	8597980	+	441	NA	3	3	3	0	3	13	4	14	6	6	8	2	6	2	0	51	8	0
SCO7769	NC_003888.3	8597980	8598822	+	843	NA	23	17	16	5	1	40	10	24	11	29	26	8	34	24	2	83	26	0
SCO7770	NC_003888.3	8598830	8599405	+	576	NA	12	4	2	7	2	17	5	6	3	5	14	0	14	6	0	37	10	0
SCO7772	NC_003888.3	8600297	8600881	-	585	NA	393	137	184	47	49	390	170	243	72	418	146	25	536	364	8	338	152	48
SCO7773	NC_003888.3	8601284	8601808	-	525	NA	89	73	62	39	35	100	31	98	34	97	35	8	161	96	3	80	52	5
SCO7774	NC_003888.3	8602543	8603184	+	642	NA	4	7	13	4	1	10	1	13	10	11	7	3	11	14	0	24	7	5
SCO7775	NC_003888.3	8603181	8603747	+	567	NA	7	11	14	4	5	13	14	27	6	12	15	0	20	13	1	63	7	4
SCO7776	NC_003888.3	8604333	8604653	+	321	NA	1	3	5	1	1	4	2	3	3	3	4	0	6	2	0	14	3	0
SCO7777	NC_003888.3	8604711	8605640	-	930	NA	22	14	3	6	0	48	6	21	15	33	15	2	54	51	1	45	12	3
SCO7778	NC_003888.3	8605797	8606564	+	768	NA	167	143	255	78	59	264	115	182	61	188	154	40	287	192	8	360	116	13
SCO7779	NC_003888.3	8606671	8607405	-	735	NA	8	6	7	0	0	21	6	5	0	19	6	0	18	6	0	18	3	0
SCO7780	NC_003888.3	8607539	8608480	+	942	NA	67	48	28	8	11	171	35	74	27	134	98	22	175	81	3	255	63	5
